Date,Open,High,Low,Close,Volume,Currency
2021-06-11,351.46,365.51,341.53,345.46,2709150,USD
2021-06-12,345.59,348.75,325.63,343.23,2545099,USD
2021-06-13,343.26,369.0,330.64,365.83,2391924,USD
2021-06-14,365.83,377.02,355.23,370.06,2418542,USD
2021-06-15,370.08,379.49,363.84,366.78,1900440,USD
2021-06-16,366.77,366.77,343.49,347.15,1888836,USD
2021-06-17,347.14,362.36,346.18,352.64,1533072,USD
2021-06-18,352.66,357.03,327.39,336.67,1953309,USD
2021-06-19,336.71,344.33,331.88,334.19,1332601,USD
2021-06-20,334.15,340.38,310.54,339.47,1993742,USD
2021-06-21,339.09,341.52,269.45,271.8,4553758,USD
2021-06-22,271.81,290.65,225.93,261.45,6748419,USD
2021-06-23,261.47,309.45,251.9,296.14,4073376,USD
2021-06-24,296.13,316.2,281.74,308.31,3115119,USD
2021-06-25,308.57,314.08,275.62,281.13,3264136,USD
2021-06-26,281.15,290.05,264.47,279.45,2631352,USD
2021-06-27,279.45,291.08,270.0,290.86,1793364,USD
2021-06-28,290.87,298.93,283.91,289.83,2158271,USD
2021-06-29,289.85,315.04,289.27,299.88,2426735,USD
2021-06-30,299.88,304.71,281.84,303.25,2358911,USD
2021-07-01,303.24,303.41,281.4,287.63,1616019,USD
2021-07-02,287.64,290.58,276.78,287.38,1175874,USD
2021-07-03,287.37,302.93,283.06,299.25,1109634,USD
2021-07-04,299.25,314.73,299.1,307.88,1496039,USD
2021-07-05,307.88,307.88,292.4,302.31,1616092,USD
2021-07-06,302.01,321.89,301.95,320.02,2341180,USD
2021-07-07,320.01,339.36,318.33,327.68,2023374,USD
2021-07-08,327.65,328.17,307.04,310.52,1887227,USD
2021-07-09,310.52,319.48,302.28,316.77,1280713,USD
2021-07-10,316.77,321.2,310.82,316.07,958948,USD
2021-07-11,316.07,326.55,312.28,321.88,929539,USD
2021-07-12,321.91,334.34,308.77,316.17,1516215,USD
2021-07-13,316.15,318.16,305.35,308.98,1083761,USD
2021-07-14,308.96,313.29,290.93,309.45,1649686,USD
2021-07-15,309.49,324.15,301.92,315.58,2491146,USD
2021-07-16,315.62,323.21,301.85,302.84,1769807,USD
2021-07-17,302.88,306.41,295.11,300.31,1305065,USD
2021-07-18,300.34,309.0,299.6,302.18,1027265,USD
2021-07-19,302.16,303.49,279.38,280.47,1631103,USD
2021-07-20,280.48,283.25,255.79,264.59,2250830,USD
2021-07-21,264.59,298.69,261.51,293.08,2184389,USD
2021-07-22,293.08,297.69,287.55,293.53,1465289,USD
2021-07-23,293.51,301.15,281.68,298.89,1976119,USD
2021-07-24,298.91,305.01,296.16,303.15,1809591,USD
2021-07-25,302.55,303.09,292.85,302.57,1252301,USD
2021-07-26,302.6,327.62,301.19,304.31,2861411,USD
2021-07-27,304.31,318.25,298.53,313.67,1888853,USD
2021-07-28,313.69,318.59,308.53,313.76,1474702,USD
2021-07-29,313.76,319.97,309.08,316.72,1125088,USD
2021-07-30,316.72,325.26,306.75,322.63,1448034,USD
2021-07-31,322.61,337.95,317.64,332.41,1554685,USD
2021-08-01,332.32,347.44,329.82,332.78,1697771,USD
2021-08-02,332.76,338.06,326.39,330.86,1148904,USD
2021-08-03,330.86,334.61,317.7,323.19,1177390,USD
2021-08-04,323.39,337.04,319.97,334.89,1006184,USD
2021-08-05,334.89,339.91,323.71,337.88,1295954,USD
2021-08-06,337.88,347.0,331.43,342.08,1305879,USD
2021-08-07,342.08,359.58,340.65,356.28,1594225,USD
2021-08-08,356.18,359.78,337.08,341.83,1322373,USD
2021-08-09,341.83,357.34,333.53,354.5,1329368,USD
2021-08-10,354.5,376.2,348.97,371.9,1714321,USD
2021-08-11,371.9,408.17,371.12,391.48,1969746,USD
2021-08-12,391.48,406.08,371.8,385.51,1902828,USD
2021-08-13,385.51,411.03,383.0,410.9,1295855,USD
2021-08-14,410.89,418.76,400.43,408.91,1487979,USD
2021-08-15,408.91,414.88,396.65,414.1,1278532,USD
2021-08-16,414.1,436.64,411.06,416.08,1900627,USD
2021-08-17,416.08,435.64,399.39,401.94,2041443,USD
2021-08-18,401.94,412.07,386.69,396.48,1809978,USD
2021-08-19,396.44,431.42,391.07,431.42,1893344,USD
2021-08-20,431.42,457.54,421.98,454.87,1732330,USD
2021-08-21,454.89,459.99,444.81,448.64,1471695,USD
2021-08-22,448.64,458.23,438.03,448.68,1174373,USD
2021-08-23,448.68,508.85,447.02,499.79,2716997,USD
2021-08-24,499.79,504.05,461.33,471.95,2140007,USD
2021-08-25,471.95,506.84,470.14,503.44,2296170,USD
2021-08-26,503.44,518.58,472.73,477.83,2288607,USD
2021-08-27,477.83,494.88,467.52,494.48,1596170,USD
2021-08-28,494.48,496.78,482.71,486.01,925226,USD
2021-08-29,486.0,495.47,476.81,479.63,945021,USD
2021-08-30,479.82,480.87,457.43,460.1,1160582,USD
2021-08-31,460.1,477.08,452.5,464.29,1521440,USD
2021-09-01,464.29,489.98,455.51,489.78,1363298,USD
2021-09-02,489.39,504.56,478.16,483.84,1291563,USD
2021-09-03,483.84,494.49,473.55,488.2,1145859,USD
2021-09-04,488.49,509.75,485.62,497.4,1307984,USD
2021-09-05,497.4,505.17,488.91,504.49,926280,USD
2021-09-06,504.49,508.86,487.85,496.11,1175957,USD
2021-09-07,496.11,504.58,373.12,417.31,3538307,USD
2021-09-08,417.32,425.48,383.71,414.6,2170792,USD
2021-09-09,414.61,435.59,404.11,421.2,1602383,USD
2021-09-10,421.2,438.89,393.91,401.1,1585603,USD
2021-09-11,401.1,415.09,399.52,405.1,967246,USD
2021-09-12,405.1,421.29,398.0,416.99,1032028,USD
2021-09-13,416.98,419.39,385.32,399.0,1619843,USD
2021-09-14,399.0,414.29,396.11,414.29,997132,USD
2021-09-15,414.29,436.39,410.1,431.1,1267692,USD
2021-09-16,431.2,433.9,415.99,424.22,1117274,USD
2021-09-17,424.22,425.79,401.37,406.21,923272,USD
2021-09-18,406.22,419.87,401.63,410.7,810072,USD
2021-09-19,410.7,418.95,403.45,408.39,819710,USD
2021-09-20,408.39,409.6,355.33,363.6,2019151,USD
2021-09-21,364.17,375.69,337.35,343.3,1711798,USD
2021-09-22,343.36,379.89,342.42,378.83,1149735,USD
2021-09-23,378.82,384.49,369.21,383.63,1044043,USD
2021-09-24,383.53,384.99,334.67,355.1,1789436,USD
2021-09-25,355.1,360.49,343.72,349.51,967040,USD
2021-09-26,349.51,352.62,320.1,344.53,1693182,USD
2021-09-27,344.52,357.5,335.3,335.32,1042738,USD
2021-09-28,335.32,344.41,330.01,332.94,1024522,USD
2021-09-29,332.91,375.01,331.57,367.51,1847813,USD
2021-09-30,367.49,388.49,366.49,387.59,1253875,USD
2021-10-01,387.59,423.3,381.79,421.31,1573088,USD
2021-10-02,421.31,438.0,410.8,427.22,1223265,USD
2021-10-03,427.18,436.89,422.34,430.32,936526,USD
2021-10-04,430.32,430.87,411.61,426.48,1071628,USD
2021-10-05,426.39,443.9,424.21,442.21,973604,USD
2021-10-06,442.19,442.79,414.91,434.88,1362955,USD
2021-10-07,434.79,449.89,424.11,438.21,1280830,USD
2021-10-08,438.21,441.59,416.0,418.7,1646727,USD
2021-10-09,418.7,425.88,416.51,421.69,695799,USD
2021-10-10,421.72,422.18,402.41,404.19,802322,USD
2021-10-11,404.19,423.86,400.42,413.38,836988,USD
2021-10-12,413.39,444.01,392.49,443.65,2117930,USD
2021-10-13,444.39,471.6,434.08,470.41,3587348,USD
2021-10-14,470.41,482.59,461.8,472.42,1556159,USD
2021-10-15,472.42,477.41,452.85,474.31,1642566,USD
2021-10-16,474.31,484.4,462.43,465.12,1143407,USD
2021-10-17,465.12,472.4,455.77,470.71,978516,USD
2021-10-18,470.91,487.2,467.22,485.0,1204067,USD
