Date,Open,High,Low,Close,Volume,Currency
2021-08-17,45907.5,47140.6,44441.3,44691.6,84141,USD
2021-08-18,44691.1,46004.9,44230.0,44723.8,22357,USD
2021-08-19,44725.9,47012.3,43986.7,46755.9,77920,USD
2021-08-20,46756.7,49343.3,46646.8,49324.0,83194,USD
2021-08-21,49330.0,49719.1,48293.5,48875.8,18204,USD
2021-08-22,48870.4,49480.3,48151.0,49254.5,49319,USD
2021-08-23,49255.4,50498.8,49038.6,49539.7,75370,USD
2021-08-24,49532.5,49847.4,47623.6,47714.7,74259,USD
2021-08-25,47707.4,49230.2,47163.3,48994.5,63544,USD
2021-08-26,48994.4,49347.8,46360.4,46831.6,73788,USD
2021-08-27,46830.2,49142.0,46371.5,49064.3,62465,USD
2021-08-28,49062.8,49289.4,48428.5,48897.1,36727,USD
2021-08-29,48899.7,49621.7,47870.1,48777.4,47619,USD
2021-08-30,48777.1,48886.0,46876.9,46992.7,61675,USD
2021-08-31,46989.1,48217.0,46709.3,47130.4,71483,USD
2021-09-01,47129.2,49121.0,46533.1,48819.4,74381,USD
2021-09-02,48817.8,50355.3,48612.9,49274.3,80213,USD
2021-09-03,49269.5,51008.8,48377.3,49999.0,88080,USD
2021-09-04,49999.3,50534.6,49461.4,49918.4,48142,USD
2021-09-05,49918.7,51878.2,49492.4,51768.6,57301,USD
2021-09-06,51769.4,52726.2,51002.8,52672.1,69456,USD
2021-09-07,52674.2,52885.3,43072.4,46779.6,187558,USD
2021-09-08,46774.1,47316.9,44493.7,46061.4,100484,USD
2021-09-09,46057.6,47305.7,45609.0,46385.6,73632,USD
2021-09-10,46385.9,47021.6,44283.6,44842.8,75615,USD
2021-09-11,44844.9,45975.6,44766.6,45161.9,41577,USD
2021-09-12,45162.6,46386.4,44755.2,46062.3,44522,USD
2021-09-13,46060.8,46807.7,43463.2,44949.5,96150,USD
2021-09-14,44950.2,47247.6,44718.7,47077.5,65327,USD
2021-09-15,47070.8,48436.5,46743.9,48130.6,63397,USD
2021-09-16,48132.3,48480.6,47040.3,47748.0,60913,USD
2021-09-17,47748.2,48155.9,46788.8,47282.8,50163,USD
2021-09-18,47283.9,48761.0,47070.5,48306.7,43641,USD
2021-09-19,48299.9,48341.9,46866.6,47238.7,41984,USD
2021-09-20,47240.8,47323.9,42547.1,42870.6,77957,USD
2021-09-21,43012.3,43619.3,39646.8,40651.3,142548,USD
2021-09-22,40660.8,43976.7,40585.7,43551.6,93982,USD
2021-09-23,43550.7,44949.8,43090.1,44869.2,74538,USD
2021-09-24,44867.4,45112.0,40908.5,42819.9,128878,USD
2021-09-25,42818.7,42959.3,41714.5,42686.8,46353,USD
2021-09-26,42685.8,43907.3,40786.6,43203.4,69908,USD
2021-09-27,43200.9,44293.2,42143.9,42172.6,54123,USD
2021-09-28,42169.9,42758.8,40906.4,41022.3,60005,USD
2021-09-29,41023.1,42571.2,40815.0,41536.8,48205,USD
2021-09-30,41534.5,44101.2,41416.7,43823.3,64315,USD
2021-10-01,43824.4,48435.2,43292.9,48146.0,94662,USD
2021-10-02,48147.2,48306.9,47451.7,47666.9,39824,USD
2021-10-03,47665.4,49165.2,47123.0,48200.1,42406,USD
2021-10-04,48200.4,49481.7,46958.6,49227.3,66916,USD
2021-10-05,49229.5,51872.4,49060.1,51469.3,76629,USD
2021-10-06,51470.0,55676.1,50439.5,55323.2,116259,USD
2021-10-07,55325.2,55325.6,53476.4,53783.9,75681,USD
2021-10-08,53785.5,55977.9,53659.3,53914.7,64054,USD
2021-10-09,53924.1,55430.8,53711.7,54942.5,64651,USD
2021-10-10,54942.5,56432.2,54100.8,54687.7,104433,USD
2021-10-11,54686.9,57814.1,54457.8,57477.3,73843,USD
2021-10-12,57480.6,57635.7,54155.4,56015.9,74849,USD
2021-10-13,56014.5,57697.4,54314.4,57380.1,73616,USD
2021-10-14,57370.4,58506.5,56866.8,57345.8,59840,USD
2021-10-15,57348.2,62892.8,56874.8,61672.5,121475,USD
2021-10-16,61669.2,62329.2,60161.9,60861.1,49926,USD
2021-10-17,60865.5,61651.4,59143.4,61527.5,53386,USD
2021-10-18,61525.8,62623.6,60026.9,62056.3,80145,USD
2021-10-19,62030.2,64454.0,61451.0,64278.5,80157,USD
2021-10-20,64276.9,66967.1,63543.7,65979.1,79870,USD
2021-10-21,66004.6,66616.9,62092.1,62210.2,105380,USD
2021-10-22,62200.8,63699.7,60055.7,60690.3,75688,USD
2021-10-23,60693.2,61728.7,59738.3,61312.5,37046,USD
2021-10-24,61308.2,61469.9,59523.7,60866.5,42674,USD
2021-10-25,60864.3,63694.8,60655.8,63067.0,51061,USD
